Filename,Labels
233.jpg,orange oakleaf
234.jpg,an 88
235.jpg,sootywing
236.jpg,crecent
237.jpg,ulyses
238.jpg,sootywing
239.jpg,skipper
240.jpg,malachite
241.jpg,chestnut
242.jpg,black hairstreak
243.jpg,clodius parnassian
244.jpg,southern dogface
245.jpg,orange tip
246.jpg,silver spot skipper
247.jpg,copper tail
248.jpg,eastern coma
249.jpg,adonis
250.jpg,grey hairstreak
251.jpg,yellow swallow tail
252.jpg,beckers white
253.jpg,question mark
254.jpg,peacock
255.jpg,skipper
256.jpg,eastern coma
257.jpg,black hairstreak
258.jpg,eastern coma
259.jpg,pipevine swallow
260.jpg,ulyses
261.jpg,red admiral
262.jpg,american snoot
263.jpg,crimson patch
264.jpg,straited queen
265.jpg,monarch
266.jpg,viceroy
267.jpg,orange oakleaf
268.jpg,adonis
269.jpg,banded peacock
270.jpg,eastern coma
271.jpg,ulyses
272.jpg,question mark
273.jpg,crecent
274.jpg,crimson patch
275.jpg,copper tail
276.jpg,pipevine swallow
277.jpg,copper tail
278.jpg,zebra long wing
279.jpg,monarch
280.jpg,large marble
281.jpg,mangrove skipper
282.jpg,chestnut
283.jpg,yellow swallow tail
284.jpg,zebra long wing
285.jpg,painted lady
286.jpg,orange tip
287.jpg,mangrove skipper
288.jpg,julia
289.jpg,skipper
290.jpg,two barred flasher
291.jpg,julia
292.jpg,pipevine swallow
293.jpg,yellow swallow tail
294.jpg,sootywing
295.jpg,question mark
296.jpg,yellow swallow tail
297.jpg,clouded sulphur
298.jpg,large marble
299.jpg,orchard swallow
300.jpg,great eggfly
301.jpg,banded peacock
302.jpg,crecent
303.jpg,chestnut
304.jpg,red spotted purple
305.jpg,southern dogface
306.jpg,grey hairstreak
307.jpg,clouded sulphur
308.jpg,straited queen
309.jpg,yellow swallow tail
310.jpg,pine white
311.jpg,ulyses
312.jpg,cabbage white
313.jpg,ulyses
314.jpg,clouded sulphur
315.jpg,question mark
316.jpg,crimson patch
317.jpg,two barred flasher
318.jpg,eastern coma
319.jpg,morning cloak
320.jpg,sootywing
321.jpg,pine white
322.jpg,great eggfly
323.jpg,adonis
324.jpg,monarch
325.jpg,two barred flasher
326.jpg,american snoot
327.jpg,eastern coma
328.jpg,paper kite
329.jpg,julia
330.jpg,malachite
331.jpg,straited queen
332.jpg,ulyses
333.jpg,adonis
334.jpg,painted lady
335.jpg,paper kite
336.jpg,wood satyr
337.jpg,viceroy
338.jpg,sootywing
339.jpg,red spotted purple
340.jpg,peacock
341.jpg,large marble
342.jpg,pipevine swallow
343.jpg,adonis
344.jpg,wood satyr
345.jpg,clodius parnassian
346.jpg,crecent
347.jpg,peacock
348.jpg,banded peacock
349.jpg,american snoot
350.jpg,silver spot skipper
351.jpg,cabbage white
352.jpg,pipevine swallow
353.jpg,banded peacock
354.jpg,peacock
355.jpg,paper kite
356.jpg,cabbage white
357.jpg,scarce swallow
358.jpg,orange oakleaf
359.jpg,orchard swallow
360.jpg,gold banded
361.jpg,morning cloak
362.jpg,banded peacock
363.jpg,pine white
364.jpg,julia
365.jpg,grey hairstreak
366.jpg,large marble
367.jpg,red admiral
368.jpg,wood satyr
369.jpg,sixspot burnet
370.jpg,orchard swallow
371.jpg,metalmark
372.jpg,indra swallow
373.jpg,metalmark
374.jpg,orange tip
375.jpg,chestnut
376.jpg,beckers white
377.jpg,julia
378.jpg,red spotted purple
379.jpg,great eggfly
380.jpg,sootywing
381.jpg,beckers white
382.jpg,orange oakleaf
383.jpg,copper tail
384.jpg,crimson patch
385.jpg,scarce swallow
386.jpg,zebra long wing
387.jpg,ulyses
388.jpg,eastern coma
389.jpg,peacock
390.jpg,zebra long wing
391.jpg,clodius parnassian
392.jpg,viceroy
393.jpg,great eggfly
394.jpg,chestnut
395.jpg,sixspot burnet
396.jpg,paper kite
397.jpg,sixspot burnet
398.jpg,copper tail
399.jpg,morning cloak
400.jpg,orange tip
401.jpg,crimson patch
402.jpg,beckers white
403.jpg,two barred flasher
404.jpg,paper kite
405.jpg,american snoot
406.jpg,purple hairstreak
407.jpg,metalmark
408.jpg,chestnut
409.jpg,skipper
410.jpg,orange tip
411.jpg,paper kite
412.jpg,crecent
413.jpg,orange oakleaf
414.jpg,adonis
415.jpg,southern dogface
416.jpg,crimson patch
417.jpg,scarce swallow
418.jpg,wood satyr
419.jpg,peacock
420.jpg,silver spot skipper
421.jpg,gold banded
422.jpg,mangrove skipper
423.jpg,orange tip
424.jpg,black hairstreak
425.jpg,straited queen
426.jpg,mangrove skipper
427.jpg,beckers white
428.jpg,eastern coma
429.jpg,viceroy
430.jpg,gold banded
431.jpg,indra swallow
432.jpg,gold banded
433.jpg,cabbage white
434.jpg,silver spot skipper
435.jpg,black hairstreak
436.jpg,clodius parnassian
437.jpg,malachite
438.jpg,question mark
439.jpg,orchard swallow
440.jpg,zebra long wing
441.jpg,metalmark
442.jpg,gold banded
443.jpg,monarch
444.jpg,sixspot burnet
445.jpg,purple hairstreak
446.jpg,orange oakleaf
447.jpg,viceroy
448.jpg,crecent
449.jpg,silver spot skipper
450.jpg,peacock
451.jpg,morning cloak
452.jpg,purple hairstreak
453.jpg,crecent
454.jpg,pipevine swallow
455.jpg,metalmark
456.jpg,two barred flasher
457.jpg,large marble
458.jpg,clouded sulphur
459.jpg,orange tip
460.jpg,banded peacock
461.jpg,pine white
462.jpg,great eggfly
463.jpg,red admiral
464.jpg,yellow swallow tail
465.jpg,black hairstreak
466.jpg,sixspot burnet
467.jpg,black hairstreak
468.jpg,indra swallow
469.jpg,silver spot skipper
470.jpg,question mark
471.jpg,ulyses
472.jpg,clodius parnassian
473.jpg,malachite
474.jpg,morning cloak
475.jpg,viceroy
476.jpg,an 88
477.jpg,sootywing
478.jpg,large marble
479.jpg,southern dogface
480.jpg,ulyses
481.jpg,gold banded
482.jpg,metalmark
483.jpg,morning cloak
484.jpg,indra swallow
485.jpg,adonis
486.jpg,black hairstreak
487.jpg,purple hairstreak
488.jpg,mangrove skipper
489.jpg,clodius parnassian
490.jpg,large marble
491.jpg,pine white
492.jpg,an 88
493.jpg,julia
494.jpg,silver spot skipper
495.jpg,american snoot
496.jpg,red spotted purple
497.jpg,paper kite
498.jpg,pine white
499.jpg,straited queen
